parameter,value,uncertainty
numax_smooth,132.9002135,0.840213138650746
A_smooth,419.2034381678795,23.735082981577037
numax_gauss,132.42149957787777,0.638622864608869
A_gauss,391.23423915452656,23.477688434563323
FWHM,15.742544070593702,0.49396388026675697
dnu,10.852805593320204,0.011887867576904965
tau_1,4543.985486946592,179.94977865115783
sigma_1,297.8454362331427,7.983520311803635
tau_2,1440.1915331677662,59.667978812389805
sigma_2,261.49326250732975,7.233515425347516
white,26.091995828352267,1.5140139033554076
