,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean,1.00,0.00,1.00,1.00,0.00,0.00,25815.00,16617.00,1.00
t0[0],3517.58,0.00,3517.58,3517.58,0.00,0.00,26158.00,13902.00,1.00
t0[1],3380.90,0.00,3380.90,3380.90,0.00,0.00,25073.00,14260.00,1.00
t0[2],3613.00,0.00,3613.00,3613.00,0.00,0.00,25217.00,14313.00,1.00
log_period[0],3.75,0.00,3.75,3.75,0.00,0.00,21253.00,15298.00,1.00
log_period[1],4.15,0.00,4.15,4.15,0.00,0.00,24268.00,14096.00,1.00
log_period[2],6.05,0.00,6.05,6.05,0.00,0.00,26211.00,15511.00,1.00
log_m_pl[0],5.48,0.04,5.40,5.56,0.00,0.00,22182.00,13884.00,1.00
log_m_pl[1],5.55,0.05,5.46,5.64,0.00,0.00,21719.00,13491.00,1.00
log_m_pl[2],5.93,0.07,5.79,6.07,0.00,0.00,20619.00,13502.00,1.00
u[0],-0.97,0.44,-1.79,-0.14,0.00,0.00,14255.00,13381.00,1.00
u[1],1.32,0.43,0.55,2.14,0.00,0.00,14205.00,13518.00,1.00
m_star,1.23,0.04,1.15,1.32,0.00,0.00,23498.00,15018.00,1.00
rho_star,0.01,0.00,0.01,0.01,0.00,0.00,26364.00,15053.00,1.00
jitter,1.83,0.11,1.62,2.05,0.00,0.00,15791.00,13111.00,1.00
trend[0],0.00,0.00,-0.00,0.00,0.00,0.00,24230.00,16532.00,1.00
trend[1],0.01,0.00,0.01,0.01,0.00,0.00,22244.00,14639.00,1.00
trend[2],-0.61,0.88,-2.22,1.10,0.01,0.01,24348.00,14392.00,1.00
log_sigma_lc,-8.01,9.98,-26.63,11.04,0.06,0.06,24006.00,14464.00,1.00
log_rho_gp,5.43,0.12,5.20,5.65,0.00,0.00,23926.00,13180.00,1.00
log_sigma_gp,0.03,0.17,-0.27,0.34,0.00,0.00,25187.00,13344.00,1.00
log_jitter,-8.38,0.01,-8.40,-8.35,0.00,0.00,25446.00,15425.00,1.00
means[0],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
