# Column descriptions,,,,,,,,,,,,
# time - UTC,,,,,,,,,,,,
# observation_id - CPS internal ID,,,,,,,,,,,,
# tel - Instrument,,,,,,,,,,,,
# bjd - BJD_TDB,,,,,,,,,,,,
# mnvel - Relative RV [m/s],,,,,,,,,,,,
# errvel - RV uncertainty [m/s],,,,,,,,,,,,
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-],,,,,,,,,,,,
# chi - Median reduced chi-squared for the observation over all chunks,,,,,,,,,,,,
# bc - Barycentric velocity at flux-weighted midpoint [m/s],,,,,,,,,,,,
# svalue - Ca_HK S value,,,,,,,,,,,,
# svalue_err - Ca_HK S value uncertainty,,,,,,,,,,,,
# trv - Telluric calibrated absolute RV [km/s],,,,,,,,,,,,
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s],,,,,,,,,,,,
time,observation_id,tel,jd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
42:15.7,j258.500,hires_j,2457926.071,45.69981932,1.898860812,6184,1.073260546,6141.46,0.08556,0.001,-30.99,0.1
17:46.2,j261.298,hires_j,2457941.012,10.642688,1.851622105,5856,1.083833814,3568.175,0.1003,0.001,-31.05,0.1
56:45.3,j262.72,hires_j,2457942.998,9.888492348,2.055988073,5686,1.095410585,3220.364,0.07609,0.001,-30.92,0.1
42:39.0,j265.287,hires_j,2457965.03,15.54176346,2.045533895,6111,1.081254125,-1144.463,0.1151,0.001,-31.27,0.1
42:04.0,j269.305,hires_j,2457994.988,42.46697698,2.015862703,6150,1.086017132,-6671.095,0.09764,0.001,-31.32,0.1
27:24.1,j271.100,hires_j,2458002.894,66.37022665,2.00045085,5672,1.078556299,-7833.876,0.1,0.001,-31.4,0.1
36:53.2,j272.197,hires_j,2458019.817,-36.83579709,1.951455593,6032,1.080496907,-10000.65,0.09026,0.001,-31.52,0.1
04:23.3,j272.392,hires_j,2458020.836,-20.08754158,1.875708699,6010,1.083309174,-10143.216,0.1212,0.001,-31.4,0.1
18:25.7,j273.85,hires_j,2458023.763,-45.30780131,1.764143229,6083,1.080866456,-10327.657,0.09167,0.001,-31.12,0.1
41:20.6,j274.78,hires_j,2458028.779,-78.39354923,1.806379676,5611,1.090322256,-10825.054,0.1386,0.001,-31.38,0.1
58:44.5,j274.279,hires_j,2458029.791,-65.23430886,2.12582922,5848,1.086355209,-10930.348,0.09119,0.001,-31.22,0.1
24:07.6,j290.93,hires_j,2458263.1,65.58178007,1.869027853,6299,1.095792294,9951.897,0.0915,0.001,-31.02,0.1
20:51.7,j290.791,hires_j,2458267.056,32.33437207,1.991803527,6052,1.10126102,9609.291,0.0927,0.001,-31.02,0.1
01:58.7,j292.93,hires_j,2458291.085,-27.24929809,1.699492455,6182,1.08350718,6150.651,0.1014,0.001,-31.32,0.1
33:03.5,j292.282,hires_j,2458292.065,-13.85315335,1.827487469,6205,1.084963799,6019.268,0.1424,0.001,-31.13,0.1
18:52.1,j292.380,hires_j,2458293.013,-6.887662296,1.744847655,6090,1.092567444,5951.213,0.1249,0.001,-31.12,0.1
51:57.9,j292.581,hires_j,2458294.078,5.585609063,1.82878387,6157,1.085102916,5656.947,0,0.001,-30.94,0.1
49:19.2,j292.795,hires_j,2458294.868,17.09843215,1.722516656,6085,1.107713819,5897.353,0.1371,0.001,-31.13,0.1
49:50.9,j292.994,hires_j,2458295.91,27.86710384,1.916236997,6014,1.07722044,5647.843,0.1032,0.001,-31.04,0.1
30:40.5,j293.96,hires_j,2458298.896,32.9981214,1.833413839,6080,1.097809911,5145.676,0.1178,0.001,-30.88,0.1
58:56.9,j293.290,hires_j,2458299.916,46.61884879,1.845419049,6284,1.108317614,4927.853,0.0875,0.001,-31.12,0.1
30:42.3,j293.495,hires_j,2458300.938,38.91432235,1.672985911,6338,1.106734753,4701.829,0.1148,0.001,-31.08,0.1
46:47.8,j293.755,hires_j,2458302.116,46.57106005,2.25165987,5957,1.116983533,4194.876,0.07293,0.001,-30.96,0.1
39:38.2,j293.993,hires_j,2458303.944,39.07969397,1.688971996,6180,1.103644609,4138.558,0.07369,0.001,-31.27,0.1
08:53.4,j294.394,hires_j,2458307.923,28.3655319,1.771014214,6150,1.083322406,3431.186,0.1072,0.001,-31.05,0.1
35:09.4,j296.666,hires_j,2458330.983,43.77847155,2.110342979,5907,1.093467832,-1210.252,0.1281,0.001,-31.21,0.1
07:06.9,j299.96,hires_j,2458344.963,34.84180004,2.068139076,6116,1.093725562,-3909.213,0.1082,0.001,-31.21,0.1
58:26.0,j300.79,hires_j,2458349.874,-12.61680552,1.872344494,6101,1.091099381,-4682.939,0.1043,0.001,,
19:25.7,j300.269,hires_j,2458350.805,-20.45161434,1.947215438,5493,1.104884744,-4723.659,0.08929,0.001,,
41:51.2,j301.25,hires_j,2458360.987,-19.74006352,2.035484552,5978,1.114419103,-6785.138,0.06543,0.001,-31.22,0.1
35:44.5,j302.81,hires_j,2458363.9,-21.36504654,1.868177176,6198,1.104079366,-7169.371,0.1143,0.001,-31.37,0.1
59:43.3,j302.272,hires_j,2458364.958,-22.30356514,2.194939375,6146,1.12213397,-7408.904,0.1045,0.001,-31.32,0.1
50:17.8,j304.78,hires_j,2458382.868,94.35163109,2.135500431,5964,1.100641251,-9812.092,0.07244,0.001,-31.31,0.1
24:09.0,j305.1290,hires_j,2458391.808,47.90010139,2.035406113,6318,1.107504845,-10671.982,0.08304,0.001,-31.07,0.1
36:34.6,j305.1680,hires_j,2458393.9,35.06437801,1.994514823,6263,1.11381197,-10963.488,0.1145,0.001,-30.76,0.1
19:52.0,j321.77,hires_j,2458567.097,-24.42515161,2.262424707,4527,1.127077341,10251.302,0.08059,0.001,-31.01,0.1
