Planet,a/R,e_a/R,E_a/R,m,e_m,E_m,r,e_r,E_r,e,e_e,E_e,lambda,e_lambda,E_lambda,i,e_i,E_i,psi,e_psi,E_psi,Refs,SimbadName,_RA,_DE
AU Mic b        ,18.92,2.42,2.15,0.05,0.01,0.01,0.38,0.02,0.02,0.1,0.09,0.17,4.7,6.8,6.4,90,19.5,0,12.1,7.5,11.3,"1,2,3,4,5         ",AU Mic b       ,311.28972,-31.3409
Beta PIC b      ,1141.92,3.47,3.47,11.9,3.04,2.93,1.46,0.01,0.01,0.103,0.03,0.03,3,5,5,     ,    ,    ,,    ,    ,"6,7,8             ",Beta PIC b     ,86.8212,-51.06651
CoRoT-11b       ,6.89,0.4,0.4,2.34,0.39,0.39,1.43,0.06,0.06,0,0,0.36,0.1,2.6,2.6,     ,    ,    ,,    ,    ,"9,15              ",CoRoT-11b      ,280.68729,5.93768
CoRoT-18b       ,7.01,0.31,0.28,3.3,0.19,0.19,1.15,0.05,0.04,0,0,0.025,10,20,20,90,23.2,0,25.4,13.1,13.6,"9,16,2            ",CoRoT-18b      ,98.17241,-0.03159
CoRoT-2b        ,6.77,0.18,0.18,3.57,0.15,0.15,1.46,0.03,0.03,0,0,0.024,1,6,7.7,90,10.8,0,8.9,5.1,6.7,"9,10,2,11,12,13   ",CoRoT-2b       ,291.77706,1.38371
CoRoT-3b        ,7.9,0.48,0.49,21.96,0.7,0.7,1.04,0.07,0.07,0,0,0.016,37.6,22.3,10,     ,    ,    ,,    ,    ,"9,14              ",CoRoT-3b       ,292.05527,0.12184
DS Tuc b        ,16.08,0.28,0.32,0.09,0.04,0.11,0.5,0.02,0.02,0,      ,      ,2.9,0.9,0.9,90,7.3,0,4,1.6,4.6,"17,18,2,19        ",HD 222259Ab    ,354.9145,-69.19575
EPIC 246851721b ,9.59,0.23,0.23,3,1.2,1.1,1,0.05,0.05,0,      ,      ,1.5,0.9,0.9,90,12.4,0,2.9,1.6,10.8,"20,2              ",EPIC 246851721b,78.91981,16.27875
GJ 3470b        ,13.84,0.46,0.51,0.04,0.01,0.01,0.35,0.03,0.03,0.126,0.041,0.042,101,14,29,51,21,25,97,11,16,"21,22             ",GJ 3470b       ,119.77433,15.39146
GJ 436b         ,14.56,0.81,0.84,0.08,0.01,0.01,0.37,0.01,0.01,0.162,0.003,0.004,72,24,33,37.3,12.5,16.2,80,18,21,23,GJ 436b        ,175.54622,26.70657
HAT-P-1b        ,10.19,0.28,0.27,0.53,0.02,0.02,1.32,0.02,0.02,0,0,0.011,3.7,2.1,2.1,     ,    ,    ,,    ,    ,"9,24              ",HAT-P-1b       ,344.44518,38.6751
HAT-P-2b        ,8.63,0.78,0.78,8.74,0.27,0.27,1.19,0.12,0.12,0.508,0.001,0.001,0.2,12.5,12.2,     ,    ,    ,,    ,    ,"9,25,26,27        ",HAT-P-2b       ,245.15149,41.04809
HAT-P-3b        ,9.81,0.31,0.31,0.59,0.02,0.02,0.91,0.03,0.03,0,0,0.01,21.2,8.7,8.7,     ,    ,    ,,    ,    ,"9,28              ",HAT-P-3b       ,206.09414,48.02867
HAT-P-4b        ,6,0.19,0.47,0.68,0.03,0.05,1.34,0.04,0.08,0,0,0.007,4.9,11.9,11.9,     ,    ,    ,,    ,    ,"9,29              ",HAT-P-4b       ,229.99134,36.22965
HAT-P-6b        ,7.43,0.37,0.37,1.06,0.06,0.06,1.4,0.08,0.08,0,0,0.044,165,6,6,     ,    ,    ,,    ,    ,"9,27,30           ",HAT-P-6b       ,354.77421,42.46597
HAT-P-7b        ,4.05,0.04,0.04,1.87,0.03,0.03,1.53,0.01,0.01,0,0,0.004,142,16,12,0,0,36,97,14,14,"9,31,32,33,27,34  ",HAT-P-7b       ,292.24731,47.9695
HAT-P-8b        ,6.4,0.2,0.2,1.27,0.05,0.05,1.32,0.04,0.04,0,0,0.006,17,9.2,11.5,     ,    ,    ,,    ,    ,"9,35,36           ",HAT-P-8b       ,343.0411,35.44711
HAT-P-9b        ,8.5,0.56,0.56,0.78,0.08,0.08,1.38,0.1,0.1,0,0,0.16,16,8,8,     ,    ,    ,,    ,    ,"9,35              ",HAT-P-9b       ,110.16857,37.14065
HAT-P-11b       ,16.56,0.29,0.29,0.09,0.01,0.01,0.39,0.01,0.01,0.264,0.001,0.001,103,10,26,67,4,2,97,4,8,"37,38,39,40,41    ",HAT-P-11b      ,297.70936,48.08086
HAT-P-12b       ,11.93,0.3,0.3,0.2,0.01,0.01,0.92,0.02,0.02,0,0,0.035,54,41,13,     ,    ,    ,,    ,    ,"9,28              ",HAT-P-12b      ,209.38945,43.4935
HAT-P-13b       ,5.37,0.16,0.16,0.91,0.03,0.03,1.49,0.04,0.04,0.009,0.002,0.004,1.9,8.6,8.6,     ,    ,    ,,    ,    ,"42,43             ",HAT-P-13b      ,129.88253,47.35202
HAT-P-14b       ,8.26,0.31,0.31,2.27,0.08,0.08,1.22,0.06,0.06,0.107,0.008,0.008,170.9,5.1,5.1,     ,    ,    ,,    ,    ,"9,29              ",HAT-P-14b      ,260.11616,38.2422
HAT-P-16b       ,7.67,0.2,0.2,4.19,0.13,0.13,1.19,0.04,0.04,0.046,0.002,0.003,10,16,16,     ,    ,    ,,    ,    ,"9,35,27           ",HAT-P-16b      ,9.57316,42.46312
HAT-P-17b       ,22.63,0.67,0.67,0.53,0.02,0.02,1.01,0.03,0.03,0.342,0.004,0.004,19,16,14,     ,    ,    ,,    ,    ,"9,44              ",HAT-P-17b      ,324.53638,30.48873
HAT-P-18b       ,16.77,0.64,0.64,0.2,0.01,0.01,0.95,0.04,0.04,0,0,0.087,132,15,15,     ,    ,    ,,    ,    ,"9,45              ",HAT-P-18b      ,256.34645,33.01248
HAT-P-20b       ,11.36,0.14,0.14,7.22,0.36,0.36,1.02,0.05,0.05,0.016,0.002,0.002,8,6.9,6.9,52.3,11,16,36.9,17.6,12.4,"9,46,2            ",HAT-P-20b      ,111.91645,24.33653
HAT-P-22b       ,8.45,0.4,0.4,2.19,0.08,0.08,1.06,0.07,0.07,0,0,0.002,2.1,3,3,64.4,10.1,20.8,6.7,3.8,29.4,"9,28,2            ",HAT-P-22b      ,155.68164,50.12835
HAT-P-23b       ,4.55,0.13,0.13,2.07,0.12,0.12,1.22,0.04,0.04,0,0,0.052,15,22,22,     ,    ,    ,,    ,    ,"9,35              ",HAT-P-23b      ,306.12385,16.76217
HAT-P-24b       ,7.71,0.38,0.43,0.68,0.03,0.03,1.24,0.06,0.07,0,0,0.038,20,16,16,     ,    ,    ,,    ,    ,"9,27              ",HAT-P-24b      ,108.82508,14.26261
HAT-P-30b       ,7.42,0.32,0.32,0.71,0.03,0.03,1.34,0.07,0.07,0,0,0.016,73.5,9,9,     ,    ,    ,,    ,    ,"9,47              ",HAT-P-30b      ,123.94992,5.83676
HAT-P-32b       ,6.05,0.12,0.12,0.8,0.14,0.14,1.81,0.03,0.03,0,0,0.044,85,1.5,1.5,     ,    ,    ,,    ,    ,"9,27              ",HAT-P-32b      ,31.04282,46.68784
