System	T_eff	M	R	age	$v\sin i$	References	
AU Mic	3700 +or- 100	0.50 +or- 0.03	0.75 +or- 0.03	0.02 +or- 0.00	9.23}_{-0.31}^{+0.79}$	1,2	
Beta PIC	8200 +or- 200	1.75}_{-0.02}^{+0.03}$	1.87 +or- 0.03	0.01}_{-0.00}^{+0.01}$	130.00 +or- 10.00	3,4,5,6	
CoRoT-2	5598 +or- 50	1.00 +or- 0.05	0.90 +or- 0.02	2.66 +or- 1.62	11.25 +or- 0.45	7,8	
CoRoT-3	6558 +or- 44	1.40 +or- 0.06	1.58 +or- 0.09	2.20 +or- 0.60	17.00 +or- 1.00	9,10	
CoRoT-11	6343 +or- 72	1.26 +or- 0.14	1.37 +or- 0.06	2.66 +or- 1.62	38.47 +or- 0.07	11,12	
CoRoT-18	5440 +or- 100	0.88 +or- 0.07	0.88}_{-0.03}^{+0.03}$	10.69 +or- 3.82	8.00 +or- 1.00	7,13	
DS Tuc	5598}_{-59}^{+28}$	0.96 +or- 0.03	0.87 +or- 0.03	0.04 +or- 0.00	20.58}_{-0.24}^{+0.31}$	14,15	
EPIC 246851721	6202}_{-50}^{+52}$	1.32 +or- 0.04	1.62}_{-0.04}^{+0.04}$	3.02}_{-0.46}^{+0.44}$	74.92}_{-0.60}^{+0.62}$	16	
GJ 3470	3622}_{-55}^{+58}$	0.53}_{-0.03}^{+0.02}$	0.50}_{-0.02}^{+0.00}$	1.65 +or- 1.35	0.61}_{-0.37}^{+0.43}$	17,18,19	
GJ 436	3416 +or- 54	0.51}_{-0.06}^{+0.07}$	0.46 +or- 0.02	6.00 +or- 2.00	0.33}_{-0.07}^{+0.09}$	20	
HAT-P-1	5975 +or- 50	1.15 +or- 0.02	1.17}_{-0.03}^{+0.03}$	1.90 +or- 0.60	3.75 +or- 0.58	21,22	
HAT-P-2	6290 +or- 60	1.28 +or- 0.05	1.68 +or- 0.15	2.60 +or- 0.50	19.50 +or- 1.40	23,24	
HAT-P-3	5190 +or- 80	0.93 +or- 0.04	0.85 +or- 0.02	2.60 +or- 0.60	1.20 +or- 0.36	25	
HAT-P-4	6036 +or- 46	1.27}_{-0.07}^{+0.12}$	1.60}_{-0.04}^{+0.12}$	4.20}_{-0.60}^{+2.60}$	5.83 +or- 0.30	26,27	
HAT-P-6	6570 +or- 80	1.29 +or- 0.07	1.52 +or- 0.07	2.30}_{-0.70}^{+0.50}$	7.80 +or- 0.60	28,29	
HAT-P-7	6310 +or- 15	1.59 +or- 0.03	2.02 +or- 0.01	2.08}_{-0.23}^{+0.28}$	2.70 +or- 0.50	30,29	
HAT-P-8	6200 +or- 80	1.19 +or- 0.07	1.48 +or- 0.03	3.40 +or- 1.00	14.50 +or- 0.80	31,32	
HAT-P-9	6350 +or- 150	1.28 +or- 0.10	1.34 +or- 0.08	1.60}_{-1.40}^{+1.80}$	12.50 +or- 1.80	33,32	
HAT-P-11	4780 +or- 50	0.80 +or- 0.03	0.68 +or- 0.01	6.50}_{-4.10}^{+5.90}$	1.00}_{-0.56}^{+0.95}$	34,35	
HAT-P-12	4665 +or- 45	0.69 +or- 0.02	0.68 +or- 0.01	2.50 +or- 2.00	0.99}_{-0.46}^{+0.42}$	36,25	
HAT-P-13	5653 +or- 90	1.32 +or- 0.06	1.76 +or- 0.05	5.00}_{-0.70}^{+2.50}$	1.70 +or- 0.40	37,38	
HAT-P-14	6600 +or- 90	1.42 +or- 0.05	1.59 +or- 0.06	1.30 +or- 0.40	8.18 +or- 0.40	39,27	
HAT-P-16	6140 +or- 72	1.22 +or- 0.06	1.16 +or- 0.03	1.30 +or- 0.40	3.90 +or- 0.80	40,32	
HAT-P-17	5246 +or- 80	0.86 +or- 0.04	0.84 +or- 0.02	7.80 +or- 0.30	0.56}_{-0.14}^{+0.12}$	41,42	
HAT-P-18	4870 +or- 50	0.77 +or- 0.03	0.72 +or- 0.03	12.40}_{-6.40}^{+4.40}$	1.58 +or- 0.18	43,44	
HAT-P-20	4595 +or- 45	0.75 +or- 0.04	0.68 +or- 0.01	6.70}_{-3.80}^{+5.70}$	1.85 +or- 0.27	45,46	
HAT-P-22	5314 +or- 50	0.94 +or- 0.04	1.06 +or- 0.05	12.40 +or- 2.40	1.65 +or- 0.26	45,25	
HAT-P-23	5885 +or- 72	1.10 +or- 0.05	1.09 +or- 0.03	4.00 +or- 1.00	7.80 +or- 1.60	45,32	
HAT-P-24	6373 +or- 80	1.19}_{-0.04}^{+0.04}$	1.29}_{-0.06}^{+0.07}$	2.80 +or- 0.60	11.20 +or- 0.90	47,29	
HAT-P-30	6338 +or- 42	1.24 +or- 0.04	1.22 +or- 0.05	1.00}_{-0.50}^{+0.80}$	3.07 +or- 0.24	48	
HAT-P-32	6269 +or- 64	1.18 +or- 0.05	1.23 +or- 0.02	2.70 +or- 0.80	20.60 +or- 1.50	9,29	
HAT-P-34	6442 +or- 88	1.39 +or- 0.05	1.53}_{-0.10}^{+0.14}$	1.70}_{-0.50}^{+0.40}$	24.30 +or- 1.20	9,29	
HAT-P-36	5620 +or- 40	1.03 +or- 0.04	1.04 +or- 0.02	6.60}_{-1.80}^{+2.90}$	3.12 +or- 0.75	9,49	
HAT-P-41	6390 +or- 100	1.42 +or- 0.05	1.68}_{-0.04}^{+0.06}$	2.20 +or- 0.40	19.60 +or- 0.50	9,50	
HAT-P-56	6566 +or- 50	1.30 +or- 0.04	1.43 +or- 0.03	2.01 +or- 0.35	36.40 +or- 0.70	9,51	
HAT-P-69	7724}_{-360}^{+250}$	1.70 +or- 0.03	1.85}_{-0.02}^{+0.04}$	1.27}_{-0.28}^{+0.44}$	77.43}_{-0.53}^{+0.64}$	52	
