,Identified Peak Frequency (uHz),Frequency % Dnu,Identified Peak Amplitude,l
1,109.89,1.39,,2
2,111.27,2.77,,0
3,115.8460229,7.3460229,3308.303589,1
4,116.6960956,8.1960956,8636.362331,1
5,117.2864239,8.7864239,3853.790866,1
6,118.2545623,9.7545623,3233.88665,1
7,120.7811674,1.4311674,15012.3063,2
8,122.1428579,2.7928579,18243.39511,0
9,126.101993,6.751993,19249.27612,1
10,127.2039391,7.8539391,16626.23525,1
11,127.9516883,8.6016883,24086.08966,1
12,128.8175031,9.4675031,12710.57153,1
13,131.674692,1.474692,15515.40458,2
14,133.0048984,2.8048984,26901.82508,0
15,136.704289,6.504289,14870.61617,1
16,136.9797755,6.7797755,7896.114495,1
17,138.0030112,7.8030112,13525.13995,1
18,138.1997873,7.9997873,7243.049883,1
19,138.8058577,8.6058577,9729.524267,1
20,138.9947628,8.7947628,8452.898366,1
21,139.8527065,9.6527065,3818.429779,1
22,140.1911614,9.9911614,3462.757916,1
23,142.49,1.44,,2
24,143.81,2.76,,0
