,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
trend[0],0.0,0.0,-0.0,0.0,0.0,0.0,2310.0,1407.0,1.0
trend[1],0.01,0.003,0.006,0.015,0.0,0.0,2512.0,1333.0,1.0
trend[2],-0.615,0.862,-2.159,1.065,0.018,0.017,2357.0,1383.0,1.0
r_star,5.035,0.065,4.915,5.161,0.001,0.001,2813.0,1528.0,1.0
m_star,1.23,0.047,1.14,1.321,0.001,0.001,2807.0,1529.0,1.0
t0[0],3517.582,0.0,3517.582,3517.582,0.0,0.0,3102.0,1425.0,1.0
t0[1],3380.9,0.0,3380.9,3380.9,0.0,0.0,3074.0,1420.0,1.0
t0[2],3613.0,0.0,3613.0,3613.0,0.0,0.0,2894.0,1538.0,1.0
a[0],54.745,0.701,53.381,56.068,0.013,0.009,2807.0,1529.0,1.0
a[1],71.802,0.919,70.028,73.546,0.017,0.012,2805.0,1518.0,1.0
a[2],254.147,3.253,247.822,260.294,0.062,0.044,2808.0,1529.0,1.0
period[0],42.296,0.0,42.296,42.296,0.0,0.0,2424.0,1608.0,1.0
period[1],63.53,0.006,63.518,63.541,0.0,0.0,3273.0,1561.0,1.0
period[2],422.999,0.041,422.923,423.074,0.001,0.001,3160.0,1681.0,1.0
r_pl[0],9.711,0.155,9.429,9.995,0.003,0.002,2181.0,1350.0,1.0
r_pl[1],25.567,14.679,3.297,49.651,0.27,0.207,2644.0,1380.0,1.0
r_pl[2],25.342,14.189,2.722,48.39,0.241,0.193,3614.0,1553.0,1.01
ror[0],0.018,0.0,0.017,0.018,0.0,0.0,1486.0,1139.0,1.0
ror[1],0.047,0.027,0.006,0.09,0.0,0.0,2675.0,1491.0,1.0
ror[2],0.046,0.026,0.005,0.088,0.0,0.0,3514.0,1547.0,1.01
b[0],0.856,0.012,0.833,0.875,0.0,0.0,1045.0,973.0,1.0
b[1],0.512,0.289,0.054,0.994,0.005,0.004,3187.0,1427.0,1.0
b[2],0.51,0.29,0.046,0.988,0.006,0.004,2237.0,1010.0,1.01
m_pl[0],240.36,10.11,222.445,259.9,0.183,0.129,3072.0,1586.0,1.0
m_pl[1],257.899,11.969,236.916,280.308,0.244,0.172,2407.0,1629.0,1.0
m_pl[2],380.756,28.105,325.474,430.133,0.604,0.43,2185.0,1550.0,1.0
jitter,1.824,0.114,1.603,2.03,0.002,0.002,2344.0,1392.0,1.0
ecc[0],0.159,0.02,0.125,0.198,0.001,0.0,1255.0,1128.0,1.0
ecc[1],0.185,0.019,0.151,0.223,0.0,0.0,2520.0,1490.0,1.0
ecc[2],0.043,0.028,0.0,0.09,0.001,0.001,1501.0,1626.0,1.0
omega[0],-0.418,0.21,-0.782,0.004,0.007,0.005,1023.0,1070.0,1.0
omega[1],2.573,0.904,2.382,3.119,0.023,0.017,1957.0,1378.0,1.0
omega[2],0.283,1.102,-1.834,2.351,0.026,0.021,1771.0,1459.0,1.0
log_sigma_gp,0.03,0.168,-0.249,0.358,0.003,0.004,2698.0,1140.0,1.0
log_rho_gp,5.424,0.12,5.213,5.653,0.002,0.002,2711.0,1129.0,1.0
